group,item,sentence,word_order,set,structure,plausible,
1,1,Köpekler adamı ısırdı.,nonreversed,biased,active,yes,
2,2,Adamlar köpeği ısırdı.,reversed,biased,active,no,
3,3,Adamlar köpek tarafından ısırıldı.,nonreversed,biased,passive,yes,
4,4,Adamlar köpek tarafından ısırıldı.,reversed,biased,passive,no,
1,1,Aşçılar yemeği mahvetti.,nonreversed,biased,active,yes,
2,2,Yemekler aşçıyı mahvetti.,reversed,biased,active,no,
3,3,Yemekler aşçı tarafından mahvedildi.,nonreversed,biased,passive,yes,
4,4,Aşçılar yemek tarafından mahvedildi.,reversed,biased,passive,no,
1,1,Kuşlar solucanı yedi.,nonreversed,biased,active,yes,
2,2,Solucanlar kuşu yedi.,reversed,biased,active,no,
3,3,Solucanlar kuş tarafından yendi.,nonreversed,biased,passive,yes,
4,4,Kuşlar solucan tarafından yendi.,reversed,biased,passive,no,
1,1,Kediler fareyi kovaladı.,nonreversed,biased,active,yes,
2,2,Fareler kediyi kovaladı.,reversed,biased,active,no,
3,3,Fareler kedi tarafından kovalandı.,nonreversed,biased,passive,yes,
4,4,Kediler fare tarafından kovaladı.,reversed,biased,passive,no,
1,1,Askerler tutsağı yakaladı.,nonreversed,biased,active,yes,
2,2,Tutsaklar askeri yakaladı.,reversed,biased,active,no,
3,3,Tutsaklar asker tarafından yakalandı.,nonreversed,biased,passive,yes,
4,4,Askerler tutsak tarafından yakalandı.,reversed,biased,passive,no,
1,1,Öğretmenler öğrenciyi sınava aldı.,nonreversed,biased,active,yes,
2,2,Öğrenciler öğretmeni sınava aldı.,reversed,biased,active,no,
3,3,Öğrenciler öğretmen tarafıdan sınava alındı.,nonreversed,biased,passive,yes,
4,4,Öğretmenler öğrenci tarafından sınava alındı.,reversed,biased,passive,no,
1,1,Avukatlar doktoru mahkemeye verdi.,nonreversed,biased,active,yes,
2,2,Doktorlar avukatı mahkemeye verdi.,reversed,biased,active,no,
3,3,Doktorlar avukat tarafından mahkemeye verildi.,nonreversed,biased,passive,yes,
4,4,Avukatlar doktor tarafından mahkemeye verildi.,reversed,biased,passive,no,
1,1,Polisler hırsızı kovaladı.,nonreversed,biased,active,yes,
2,2,Hırsızlar polisi kovaladı.,reversed,biased,active,no,
3,3,Hırsızlar polis tarafından kovalandı.,nonreversed,biased,passive,yes,
4,4,Polisler hırsız tarafından kovanandı.,reversed,biased,passive,no,
1,1,Garsonlar adamı ağırladı.,nonreversed,biased,active,yes,
2,2,Adamlar garsonu ağırladı.,reversed,biased,active,no,
3,3,Adamlar garson tarafından ağırlandı.,nonreversed,biased,passive,yes,
4,4,Garsonlar adam tarafından ağırlandı.,reversed,biased,passive,no,
1,1,Kasaplar kediyi besledi.,nonreversed,biased,active,yes,
2,2,Kediler kasabı besledi.,reversed,biased,active,no,
3,3,Kediler kasap tarafından beslendi.,nonreversed,biased,passive,yes,
4,4,Kasaplar kedi tarafından beslendi.,reversed,biased,passive,no,
1,1,Dedektifler şüpheliyi araştırdı.,nonreversed,biased,active,yes,
2,2,Şüpheliler dedektifi araştırdı.,reversed,biased,active,no,
3,3,Şüpheliler dedektif tarafından araştırıldı.,nonreversed,biased,passive,yes,
4,4,Dedektifler şüpheli tqrafından araştırıldı.,reversed,biased,passive,no,
1,1,Doktorlar hastayı tedavi etti.,nonreversed,biased,active,yes,
2,2,Hastalar doktoru tedavi etti.,reversed,biased,active,no,
3,3,Hastalar doktor tarafından tedavi edildi.,nonreversed,biased,passive,yes,
4,4,Doktorlar hasta tarafından tedavi edildi.,reversed,biased,passive,no,
1,1,Siyasetçiler seçmeni kandırdı.,nonreversed,biased,active,yes,
2,2,Seçmenler siyasetçiyi kandırdı.,reversed,biased,active,no,
3,3,Seçmenler siyasetçi tarafından kandırıldı.,nonreversed,biased,passive,yes,
4,4,Siyasetçiler seçmen tarafından kandırıldı.,reversed,biased,passive,no,
1,1,Avcılar tavşanı öldürdü.,nonreversed,biased,active,yes,
2,2,Tavşanlar avcıyı öldürdü.,reversed,biased,active,no,
3,3,Tavşanlar avcı tarafından öldürüldü.,nonreversed,biased,passive,yes,
4,4,Avcılar tavşan tarafından öldürüldü.,reversed,biased,passive,no,
1,1,Atlar biniciyi attı.,nonreversed,biased,active,yes,
2,2,Biniciler atı attı.,reversed,biased,active,no,
3,3,Biniciler at tarafından atıldı.,nonreversed,biased,passive,yes,
4,4,Atlar binici tarafından atıldı.,reversed,biased,passive,no,
1,1,Basketçiler topu savurdu.,nonreversed,biased,active,yes,
2,2,Toplar basketçiyi savurdu.,reversed,biased,active,no,
3,3,Toplar basketçi tarafından savruldu.,nonreversed,biased,passive,yes,
4,4,Basketçiler top tarafından savruldu.,reversed,biased,passive,no,
1,1,Avcılar geyiği vurdu.,nonreversed,biased,active,yes,
2,2,Geyikler avcıyı vurdu.,reversed,biased,active,no,
3,3,Geyikler avcı tarafından vuruldu.,nonreversed,biased,passive,yes,
4,4,Avcılar geyik tarafından vuruldu.,reversed,biased,passive,no,
1,1,Kurbağalar sineği yakaladı.,nonreversed,biased,active,yes,
2,2,Sinekler kurbağayı yakaladı.,reversed,biased,active,no,
3,3,Sinekler kurbağa tarafından yakalandı.,nonreversed,biased,passive,yes,
4,4,Kurbağalar sinek tarafından yakalandı.,reversed,biased,passive,no,
1,1,Hayaletler çocuğu korkuttu.,nonreversed,biased,active,yes,
2,2,Çocuklar hayaleti korkuttu.,reversed,biased,active,no,
3,3,Çocuklar hayalet tarafından korkutuldu.,nonreversed,biased,passive,yes,
4,4,Hayaletler çocuk tarafından korkutuldu.,reversed,biased,passive,no,
1,1,Atlar jokeyi tekmeledi.,nonreversed,biased,active,yes,
2,2,Jokeyler atı tekmeledi.,reversed,biased,active,no,
3,3,Jokeyler at tarafından tekmelendi.,nonreversed,biased,passive,yes,
4,4,Atlar jokey tarafından tekmelendi.,reversed,biased,passive,no,
1,1,Kampçılar balığı yakaladı.,nonreversed,biased,active,yes,
2,2,Balıklar kampçıyı yakaladı.,reversed,biased,active,no,
3,3,Balıklar kampçı tarafından yakalandı.,nonreversed,biased,passive,yes,
4,4,Kampçılar balık tarafından yakalandı.,reversed,biased,passive,no,
1,1,Çobanlar koyunu besledi.,nonreversed,biased,active,yes,
2,2,Koyunlar çobanı besledi.,reversed,biased,active,no,
3,3,Koyunlar çoban tarafından beslendi.,nonreversed,biased,passive,yes,
4,4,Çobanlar koyun tarafından beslendi.,reversed,biased,passive,no,
1,1,Polisler vatandaşı tutukladı.,nonreversed,biased,active,yes,
2,2,Vatandaşlar polisi tutukladı.,reversed,biased,active,no,
3,3,Vatandaşlar polis tarafından tutuklandı.,nonreversed,biased,passive,yes,
4,4,Polisler vatandaş tarafından tutuklandı.,reversed,biased,passive,no,
1,1,Prensler ejderhayı kılıçtan geçirdi.,nonreversed,biased,active,yes,
2,2,Ejderhalar prensi kılıçtan geçirdi.,reversed,biased,active,no,
3,3,Ejderhalar prens tarafından kılıçtan geçirildi.,nonreversed,biased,passive,yes,
4,4,Prensler ejderha tarafından kılıçtan geçirildi.,reversed,biased,passive,no,
1,1,Şefler önlüğü giydi.,nonreversed,irreversible,active,yes,
2,2,Önlükler şefi giydi.,reversed,irreversible,active,no,
3,3,Önlükler şef tarafından giyildi.,nonreversed,irreversible,passive,yes,
